formatted_date,BTC-USD,ETH-USD,BNB-USD,ADA-USD,SOL1-USD,XRP-USD,DOT1-USD,DOGE-USD,LUNA1-USD,UNI3-USD,AVAX-USD,LINK-USD,LTC-USD,ALGO-USD
2020-10-23,13108.0625,412.4576110839844,30.588821411132812,0.10807500034570694,1.9118280410766602,0.2564310133457184,4.355343818664551,0.0026459998916834593,0.3115440011024475,2.9432570934295654,4.189700126647949,12.731548309326172,59.09558868408203,0.30737701058387756
2020-10-24,13031.173828125,406.2177734375,30.107540130615234,0.10635100305080414,1.7874590158462524,0.25321298837661743,4.335230827331543,0.002652999944984913,0.30808600783348083,2.775747060775757,4.153210163116455,12.160058975219727,58.674800872802734,0.3031879961490631
2020-10-26,13075.248046875,393.8883056640625,31.154560089111328,0.10309699922800064,1.6854660511016846,0.2486879974603653,4.727015972137451,0.002678999910131097,0.30418500304222107,2.725903034210205,4.160973072052002,11.747901916503906,56.74577713012695,0.2914600074291229
2020-10-27,13654.21875,403.9970397949219,31.638721466064453,0.10282699763774872,1.7102320194244385,0.2528989911079407,4.6839518547058105,0.00267699989490211,0.30915001034736633,2.8223989009857178,4.1222429275512695,11.973836898803711,57.8160514831543,0.28753599524497986
2020-10-28,13271.28515625,388.6507568359375,30.363506317138672,0.0989769995212555,1.4900530576705933,0.24586500227451324,4.3650970458984375,0.0025949999690055847,0.3081830143928528,,4.066606044769287,11.461742401123047,55.74251174926758,0.2773270010948181
2020-10-29,13437.8828125,386.7301025390625,29.842477798461914,0.09537599980831146,1.4289360046386719,0.24229499697685242,4.053345203399658,0.002581000095233321,0.30209600925445557,,3.7753119468688965,11.265140533447266,54.76585388183594,0.2560870051383972
2020-10-30,13546.5224609375,382.8199768066406,28.508411407470703,0.0933689996600151,1.4413360357284546,0.23918400704860687,4.088112831115723,0.002597999991849065,0.30390799045562744,,3.714937925338745,11.098557472229004,53.83503341674805,0.25445300340652466
2020-10-31,13780.9951171875,386.59033203125,28.431215286254883,0.09305600076913834,1.5406999588012695,0.23974399268627167,4.18176794052124,0.0025760000571608543,0.30274999141693115,,3.6483678817749023,11.22083854675293,55.59025955200195,0.24947099387645721
2020-11-01,13737.109375,396.3581848144531,28.461565017700195,0.09819699823856354,1.5998400449752808,0.23979699611663818,4.22561502456665,0.0025820001028478146,0.2995690107345581,,3.682663917541504,11.536629676818848,55.587623596191406,0.2572909891605377
2020-11-02,13550.4892578125,383.15673828125,27.883930206298828,0.0921429991722107,1.474071979522705,0.23542100191116333,4.030231952667236,0.002517000073567033,0.286857008934021,,3.623914957046509,10.797578811645508,53.817481994628906,0.2461470067501068
2020-11-03,13950.30078125,387.6021728515625,26.8570499420166,0.09343399852514267,1.4122339487075806,0.23950999975204468,4.025467872619629,0.0025279999244958162,0.2905130088329315,,3.332746982574463,10.387001991271973,53.81962203979492,0.23287099599838257
2020-11-04,14133.70703125,402.1419982910156,26.931514739990234,0.09536900371313095,1.3922549486160278,0.2377929985523224,4.098083019256592,0.002532999962568283,0.28399398922920227,,3.1846330165863037,10.472586631774902,54.49910354614258,0.23859800398349762
2020-11-05,15579.8486328125,414.0673522949219,27.675859451293945,0.09699399769306183,1.4052180051803589,0.2457759976387024,4.235195159912109,0.002616999903693795,0.29236599802970886,,3.3582050800323486,10.990669250488281,58.678497314453125,0.24770699441432953
2020-11-06,15565.880859375,454.71929931640625,29.01799964904785,0.10910499840974808,1.9137400388717651,0.25844499468803406,4.579651832580566,0.0027600000612437725,0.30473700165748596,,3.5952820777893066,12.118071556091309,63.13111114501953,0.27647098898887634
2020-11-07,14833.75390625,435.713134765625,27.738094329833984,0.10137899965047836,2.031964063644409,0.24958199262619019,4.241960048675537,0.0026710000820457935,0.29236501455307007,,3.4034080505371094,11.757224082946777,59.143646240234375,0.25826600193977356
2020-11-08,15479.5673828125,453.5547790527344,28.305116653442383,0.10662099719047546,2.1565980911254883,0.2539390027523041,4.372093200683594,0.002710999920964241,0.3030160069465637,,3.476598024368286,12.656035423278809,61.05504608154297,0.2664940059185028
2020-11-09,15332.3154296875,444.1630554199219,28.018020629882812,0.10532499849796295,2.0286519527435303,0.25074800848960876,4.346766948699951,0.0026700000744313,0.2974179983139038,,3.4171249866485596,12.520734786987305,59.36388397216797,0.26061999797821045
2020-11-10,15290.90234375,449.67962646484375,28.193342208862305,0.10580500215291977,2.2479870319366455,0.25391098856925964,4.415016174316406,0.002753000007942319,0.3082500100135803,,3.586142063140869,13.003462791442871,58.237342834472656,0.28678399324417114
2020-11-11,15701.33984375,462.9605407714844,27.956178665161133,0.10596500337123871,2.0021250247955322,0.2562589943408966,4.457201957702637,0.002768999896943569,0.3209260106086731,,3.484355926513672,12.807538032531738,59.51502990722656,0.27873799204826355
2020-11-12,16276.34375,461.0052795410156,27.61480712890625,0.10452499985694885,1.8991379737854004,0.25490298867225647,4.399240016937256,0.002778999973088503,0.3165299892425537,,3.429142951965332,12.423222541809082,60.365379333496094,0.265159010887146
2020-11-13,16317.80859375,474.6264343261719,28.182172775268555,0.10639099776744843,2.020792007446289,0.265190988779068,4.5401201248168945,0.0028210000600665808,0.3189220130443573,,3.697801113128662,12.887977600097656,65.45719909667969,0.2797450125217438
2020-11-14,16068.138671875,460.14984130859375,27.936201095581055,0.10420200228691101,1.9170160293579102,0.268341988325119,4.4656219482421875,0.0027729999274015427,0.30529600381851196,,3.5004849433898926,12.576959609985352,63.77415084838867,0.2658270001411438
