Date,Close
2014-11-03,327.5539855957031
2014-11-04,330.49200439453125
2014-11-05,339.4859924316406
2014-11-06,349.2900085449219
2014-11-07,342.4150085449219
2014-11-08,345.4880065917969
2014-11-09,363.2640075683594
2014-11-10,366.92401123046875
2014-11-11,367.69500732421875
2014-11-12,423.5610046386719
2014-11-13,420.7349853515625
2014-11-14,397.8179931640625
2014-11-15,376.13299560546875
2014-11-16,387.8819885253906
2014-11-17,387.4079895019531
2014-11-18,375.197998046875
2014-11-19,380.55499267578125
2014-11-20,357.8399963378906
2014-11-21,350.8479919433594
2014-11-22,352.9200134277344
2014-11-23,367.572998046875
2014-11-24,376.9010009765625
2014-11-25,375.3479919433594
2014-11-26,368.3699951171875
2014-11-27,369.6700134277344
2014-11-28,376.4469909667969
2014-11-29,375.4909973144531
2014-11-30,378.0469970703125
2014-12-01,379.2449951171875
2014-12-02,381.31500244140625
2014-12-03,375.010009765625
2014-12-04,369.60400390625
2014-12-05,376.85400390625
2014-12-06,374.7850036621094
2014-12-07,375.0950012207031
2014-12-08,361.90899658203125
2014-12-09,352.218994140625
2014-12-10,346.364990234375
2014-12-11,350.5060119628906
2014-12-12,352.5419921875
2014-12-13,347.3760070800781
2014-12-14,351.6319885253906
2014-12-15,345.3450012207031
2014-12-16,327.06201171875
2014-12-17,319.7760009765625
2014-12-18,311.39599609375
2014-12-19,317.8429870605469
2014-12-20,329.95599365234375
2014-12-21,320.8429870605469
2014-12-22,331.885986328125
2014-12-23,334.5719909667969
2014-12-24,322.53399658203125
2014-12-25,319.00799560546875
2014-12-26,327.92401123046875
2014-12-27,315.8630065917969
2014-12-28,317.239013671875
2014-12-29,312.6700134277344
2014-12-30,310.73699951171875
2014-12-31,320.1929931640625
2015-01-01,314.2489929199219
2015-01-02,315.0320129394531
2015-01-03,281.0820007324219
2015-01-04,264.19500732421875
2015-01-05,274.4739990234375
2015-01-06,286.1889953613281
2015-01-07,294.3370056152344
2015-01-08,283.3489990234375
2015-01-09,290.4079895019531
2015-01-10,274.7959899902344
2015-01-11,265.6600036621094
2015-01-12,267.7959899902344
2015-01-13,225.86099243164062
2015-01-14,178.10299682617188
2015-01-15,209.843994140625
2015-01-16,208.0970001220703
2015-01-17,199.25999450683594
2015-01-18,210.33900451660156
2015-01-19,214.86099243164062
2015-01-20,211.31500244140625
2015-01-21,226.89700317382812
2015-01-22,233.406005859375
2015-01-23,232.87899780273438
2015-01-24,247.8470001220703
2015-01-25,253.71800231933594
2015-01-26,273.4729919433594
2015-01-27,263.4750061035156
2015-01-28,233.9149932861328
2015-01-29,233.51300048828125
2015-01-30,226.4250030517578
2015-01-31,217.46400451660156
2015-02-01,226.9720001220703
2015-02-02,238.22900390625
2015-02-03,227.26800537109375
2015-02-04,226.85299682617188
2015-02-05,217.11099243164062
2015-02-06,222.26600646972656
2015-02-07,227.75399780273438
2015-02-08,223.41200256347656
2015-02-09,220.11000061035156
2015-02-10,219.83900451660156
2015-02-11,219.18499755859375
2015-02-12,221.76400756835938
2015-02-13,235.427001953125
2015-02-14,257.3210144042969
2015-02-15,234.8249969482422
2015-02-16,233.84300231933594
2015-02-17,243.61000061035156
2015-02-18,236.3260040283203
2015-02-19,240.2830047607422
2015-02-20,243.7790069580078
2015-02-21,244.53399658203125
2015-02-22,235.9770050048828
2015-02-23,238.89199829101562
2015-02-24,238.73500061035156
2015-02-25,237.47000122070312
2015-02-26,236.42599487304688
2015-02-27,253.8280029296875
2015-02-28,254.26300048828125
2015-03-01,260.2019958496094
